Keyword,Match type,Final URL,Max CPC (CLP)
cotizar isapre,Phrase,https://nuevaisapre.cl/,2000
[cotizar isapre],Exact,https://nuevaisapre.cl/,2200
cotizar isapres,Phrase,https://nuevaisapre.cl/,2000
[cotizar isapres],Exact,https://nuevaisapre.cl/,2200
cotizar plan isapre,Phrase,https://nuevaisapre.cl/,1800
[cotizar plan de isapre],Exact,https://nuevaisapre.cl/,1800
comparar isapres,Phrase,https://nuevaisapre.cl/,2000
[comparar isapres],Exact,https://nuevaisapre.cl/,2200
comparar planes isapre,Phrase,https://nuevaisapre.cl/,1800
cambiarse de isapre,Phrase,https://nuevaisapre.cl/,1500
cambiarme de isapre,Phrase,https://nuevaisapre.cl/,1500
[cambiar de isapre],Exact,https://nuevaisapre.cl/,1800
cambio de isapre,Phrase,https://nuevaisapre.cl/,1500
contratar isapre,Phrase,https://nuevaisapre.cl/,1800
[contratar isapre],Exact,https://nuevaisapre.cl/,2000
afiliarme a isapre,Phrase,https://nuevaisapre.cl/,1500
afiliacion isapre,Phrase,https://nuevaisapre.cl/,1500
afiliarse isapre,Phrase,https://nuevaisapre.cl/,1500
mejor plan isapre,Phrase,https://nuevaisapre.cl/,1200
[mejor plan de isapre],Exact,https://nuevaisapre.cl/,1500
